Tempo;U_t;V_t;A_t
3.066;2.672E-2;-8.114E-2;0.802
3.099;2.448E-2;-4.784E-2;1.111
3.132;2.353E-2;-6.736E-3;1.237
3.166;2.403E-2;3.526E-2;1.157
3.199;2.588E-2;7.075E-2;0.910
3.232;2.875E-2;9.605E-2;0.548
3.266;3.228E-2;0.108;0.130
3.299;3.592E-2;0.104;-0.309
3.332;3.924E-2;8.720E-2;-0.711
3.366;4.174E-2;5.681E-2;-1.011
3.399;4.303E-2;1.923E-2;-1.123
3.432;4.302E-2;-1.848E-2;-1.117
3.466;4.180E-2;-5.496E-2;-0.983
3.499;3.935E-2;-8.498E-2;-0.719
3.532;3.613E-2;-0.103;-0.342
3.566;3.251E-2;-0.108;8.163E-2
3.599;2.894E-2;-9.755E-2;0.530
3.632;2.601E-2;-7.220E-2;0.922
3.666;2.413E-2;-3.593E-2;1.153
3.699;2.361E-2;5.304E-3;1.268
3.732;2.448E-2;4.710E-2;1.142
3.766;2.660E-2;8.215E-2;0.885
3.799;2.968E-2;0.101;0.476
3.832;3.334E-2;0.109;-1.785E-2
3.866;3.693E-2;9.959E-2;-0.447
3.899;3.997E-2;7.858E-2;-0.792
3.932;4.217E-2;4.697E-2;-1.022
3.966;4.311E-2;9.602E-3;-1.128
3.999;4.281E-2;-2.812E-2;-1.082
4.032;4.123E-2;-6.308E-2;-0.940
4.066;3.860E-2;-9.081E-2;-0.629
4.099;3.518E-2;-0.106;-0.239
4.132;3.155E-2;-0.106;0.225
4.165;2.810E-2;-9.136E-2;0.632
4.199;2.546E-2;-6.316E-2;0.979
4.232;2.389E-2;-2.636E-2;1.184
4.265;2.371E-2;1.640E-2;1.237
4.299;2.498E-2;5.663E-2;1.038
4.332;2.748E-2;8.617E-2;0.719
4.365;3.072E-2;0.104;0.307
4.399;3.442E-2;0.107;-0.139
4.432;3.789E-2;9.422E-2;-0.558
4.465;4.070E-2;7.009E-2;-0.871
4.499;4.256E-2;3.622E-2;-1.061
4.532;4.311E-2;-1.551E-3;-1.117
4.565;4.245E-2;-3.804E-2;-1.052
4.599;4.058E-2;-7.201E-2;-0.864
4.632;3.766E-2;-9.628E-2;-0.507
4.665;3.416E-2;-0.106;-9.938E-2
4.699;3.060E-2;-0.103;0.315
4.732;2.732E-2;-8.533E-2;0.722
4.765;2.491E-2;-5.399E-2;1.061
4.799;2.372E-2;-1.429E-2;1.237
4.832;2.396E-2;2.882E-2;1.206
4.865;2.565E-2;6.690E-2;0.947
4.899;2.842E-2;9.221E-2;0.595
4.932;3.179E-2;0.106;0.186
4.965;3.549E-2;0.106;-0.270
4.999;3.883E-2;8.762E-2;-0.681
5.032;4.133E-2;5.958E-2;-0.938
5.065;4.280E-2;2.510E-2;-1.080
5.099;4.300E-2;-1.285E-2;-1.094
5.132;4.194E-2;-4.825E-2;-1.005
5.165;3.979E-2;-7.963E-2;-0.771
5.199;3.663E-2;-0.101;-0.411
5.232;3.307E-2;-0.107;4.823E-2
5.265;2.952E-2;-9.786E-2;0.451
5.298;2.655E-2;-7.603E-2;0.834
5.332;2.446E-2;-4.261E-2;1.112
5.365;2.371E-2;-1.080E-3;1.237
5.398;2.438E-2;4.024E-2;1.118
5.432;2.639E-2;7.410E-2;0.857
5.465;2.932E-2;9.717E-2;0.482
5.498;3.287E-2;0.107;6.205E-2
5.532;3.644E-2;0.101;-0.398
5.565;3.960E-2;8.047E-2;-0.755
5.598;4.180E-2;4.980E-2;-0.990
5.632;4.292E-2;1.455E-2;-1.083
5.665;4.277E-2;-2.282E-2;-1.082
5.698;4.140E-2;-5.776E-2;-0.959
5.732;3.892E-2;-8.699E-2;-0.683
5.765;3.560E-2;-0.104;-0.277
5.798;3.199E-2;-0.105;0.169
5.832;2.858E-2;-9.266E-2;0.575
5.865;2.582E-2;-6.693E-2;0.930
5.898;2.412E-2;-3.038E-2;1.165
5.932;2.379E-2;1.124E-2;1.225
5.965;2.487E-2;5.166E-2;1.045
5.998;2.724E-2;8.177E-2;0.757
6.032;3.032E-2;0.101;0.350
6.065;3.399E-2;0.106;-8.420E-2
6.098;3.742E-2;9.468E-2;-0.509
6.132;4.030E-2;7.261E-2;-0.817
6.165;4.226E-2;4.022E-2;-1.033
6.198;4.298E-2;2.979E-3;-1.116
6.232;4.246E-2;-3.409E-2;-1.040
6.265;4.071E-2;-6.697E-2;-0.853
6.298;3.800E-2;-9.097E-2;-0.575
6.332;3.464E-2;-0.105;-0.173
6.365;3.098E-2;-0.103;0.275
6.398;2.775E-2;-8.595E-2;0.687
6.432;2.525E-2;-5.794E-2;0.999
6.465;2.389E-2;-1.910E-2;1.214
6.498;2.397E-2;2.364E-2;1.208
6.531;2.547E-2;6.193E-2;0.971
6.565;2.810E-2;8.886E-2;0.640
6.598;3.139E-2;0.104;0.227
6.631;3.504E-2;0.105;-0.220
6.665;3.838E-2;8.889E-2;-0.625
6.698;4.097E-2;6.286E-2;-0.886
6.731;4.257E-2;2.978E-2;-1.053
6.765;4.295E-2;-7.635E-3;-1.086
6.798;4.206E-2;-4.317E-2;-1.016
6.831;4.008E-2;-7.503E-2;-0.799
6.865;3.706E-2;-9.753E-2;-0.446
6.898;3.358E-2;-0.105;-2.550E-2
6.931;3.009E-2;-9.903E-2;0.387
6.965;2.698E-2;-7.920E-2;0.778
6.998;2.481E-2;-4.648E-2;1.091
7.031;2.388E-2;-6.404E-3;1.211
7.065;2.439E-2;3.496E-2;1.156
7.098;2.621E-2;7.088E-2;0.872
7.131;2.911E-2;9.394E-2;0.499
7.165;3.247E-2;0.103;0.111
7.198;3.600E-2;0.102;-0.313
7.231;3.925E-2;8.298E-2;-0.717
7.265;4.153E-2;5.270E-2;-0.966
7.298;4.276E-2;1.869E-2;-1.059
7.331;4.278E-2;-1.811E-2;-1.060
7.365;4.155E-2;-5.246E-2;-0.983
7.398;3.928E-2;-8.325E-2;-0.717
7.431;3.601E-2;-0.102;-0.334
7.465;3.250E-2;-0.104;0.135
7.498;2.904E-2;-9.356E-2;0.510
7.531;2.626E-2;-6.966E-2;0.873
7.565;2.440E-2;-3.575E-2;1.127
7.598;2.388E-2;6.177E-3;1.219
7.631;2.481E-2;4.625E-2;1.062
7.664;2.696E-2;7.727E-2;0.781
7.698;2.996E-2;9.815E-2;0.411
7.731;3.350E-2;0.105;-7.856E-3
7.764;3.698E-2;9.722E-2;-0.462
7.798;3.998E-2;7.480E-2;-0.809
7.831;4.197E-2;4.242E-2;-1.011
7.864;4.281E-2;7.272E-3;-1.063
7.898;4.245E-2;-2.856E-2;-1.035
7.931;4.091E-2;-6.202E-2;-0.896
7.964;3.832E-2;-8.866E-2;-0.607
7.998;3.500E-2;-0.103;-0.196
8.031;3.146E-2;-0.102;0.224
8.064;2.821E-2;-8.770E-2;0.617
8.098;2.561E-2;-6.096E-2;0.954
8.131;2.415E-2;-2.348E-2;1.182
8.164;2.405E-2;1.814E-2;1.195
8.198;2.536E-2;5.683E-2;0.996
8.231;2.784E-2;8.494E-2;0.674
8.264;3.102E-2;0.101;0.272
8.298;3.460E-2;0.104;-0.165
8.331;3.794E-2;9.005E-2;-0.558
8.364;4.060E-2;6.614E-2;-0.861
8.398;4.234E-2;3.293E-2;-1.034
8.431;4.279E-2;-3.875E-3;-1.077
8.464;4.209E-2;-3.857E-2;-0.993
8.498;4.022E-2;-7.044E-2;-0.820
8.531;3.739E-2;-9.367E-2;-0.508
8.564;3.398E-2;-0.104;-7.542E-2
8.598;3.043E-2;-9.908E-2;0.351
8.631;2.738E-2;-8.022E-2;0.730
8.664;2.509E-2;-5.072E-2;1.027
8.698;2.399E-2;-1.137E-2;1.207
8.731;2.433E-2;3.037E-2;1.172
8.764;2.602E-2;6.718E-2;0.899
8.797;2.881E-2;9.105E-2;0.527
8.831;3.209E-2;0.102;0.155
8.864;3.558E-2;0.102;-0.256
8.897;3.886E-2;8.506E-2;-0.670
8.931;4.125E-2;5.588E-2;-0.944
8.964;4.259E-2;2.213E-2;-1.045
8.997;4.272E-2;-1.406E-2;-1.072
9.031;4.165E-2;-4.948E-2;-0.971
9.064;3.943E-2;-7.926E-2;-0.712
9.097;3.637E-2;-9.728E-2;-0.361
9.131;3.294E-2;-0.103;4.205E-2
9.164;2.950E-2;-9.499E-2;0.452
9.197;2.661E-2;-7.252E-2;0.835
9.231;2.466E-2;-3.928E-2;1.098
9.264;2.399E-2;1.083E-3;1.200
9.297;2.474E-2;4.133E-2;1.080
9.331;2.675E-2;7.361E-2;0.822
9.364;2.964E-2;9.587E-2;0.440
9.397;3.314E-2;0.104;3.474E-2
9.431;3.656E-2;9.735E-2;-0.420
9.464;3.963E-2;7.664E-2;-0.763
9.497;4.167E-2;4.514E-2;-0.979
9.531;4.264E-2;1.147E-2;-1.036
9.564;4.243E-2;-2.405E-2;-1.027
9.597;4.103E-2;-5.740E-2;-0.928
9.631;3.861E-2;-8.584E-2;-0.637
9.664;3.531E-2;-0.101;-0.254
9.697;3.187E-2;-0.102;0.190
9.731;2.853E-2;-8.922E-2;0.572
9.764;2.592E-2;-6.292E-2;0.926
9.797;2.433E-2;-2.761E-2;1.130
9.831;2.408E-2;1.301E-2;1.186
9.864;2.520E-2;5.183E-2;1.015
9.897;2.754E-2;8.132E-2;0.713
9.931;3.062E-2;9.902E-2;0.319
9.964;3.414E-2;0.103;-0.104
9.997;3.749E-2;9.177E-2;-0.515
10.030;4.025E-2;6.862E-2;-0.819
10.064;4.207E-2;3.694E-2;-1.011
10.097;4.271E-2;9.088E-4;-1.072
10.130;4.213E-2;-3.480E-2;-1.003
10.164;4.040E-2;-6.619E-2;-0.817
10.197;3.772E-2;-8.957E-2;-0.544
10.230;3.442E-2;-0.103;-0.152
10.264;3.088E-2;-0.100;0.298
10.297;2.774E-2;-8.218E-2;0.702
10.330;2.541E-2;-5.333E-2;0.993
10.364;2.419E-2;-1.584E-2;1.165
10.397;2.435E-2;2.496E-2;1.138
10.430;2.585E-2;6.061E-2;0.955
10.464;2.838E-2;8.845E-2;0.597
10.497;3.174E-2;0.102;0.200
10.530;3.515E-2;0.100;-0.249
10.564;3.844E-2;8.611E-2;-0.601
10.597;4.089E-2;5.907E-2;-0.912
10.630;4.238E-2;2.571E-2;-1.016
10.664;4.260E-2;-9.620E-3;-1.041
10.697;4.173E-2;-4.323E-2;-0.954
10.730;3.972E-2;-7.384E-2;-0.761
10.764;3.681E-2;-9.434E-2;-0.427
10.797;3.343E-2;-0.102;-1.828E-2
10.830;2.999E-2;-9.584E-2;0.411
10.864;2.704E-2;-7.466E-2;0.782
10.897;2.502E-2;-4.331E-2;1.059
10.930;2.416E-2;-4.134E-3;1.188
10.964;2.474E-2;3.681E-2;1.085
10.997;2.661E-2;6.876E-2;0.833
11.030;2.933E-2;9.174E-2;0.474
11.064;3.273E-2;0.102;9.589E-2
11.097;3.610E-2;9.709E-2;-0.362
11.130;3.920E-2;7.847E-2;-0.700
11.163;4.133E-2;4.900E-2;-0.937
11.197;4.246E-2;1.637E-2;-1.016
11.230;4.242E-2;-1.917E-2;-1.033
11.263;4.119E-2;-5.275E-2;-0.930
11.297;3.890E-2;-8.132E-2;-0.675
11.330;3.577E-2;-9.847E-2;-0.310
11.363;3.234E-2;-0.102;0.125
11.397;2.899E-2;-9.051E-2;0.529
11.430;2.630E-2;-6.586E-2;0.882
11.463;2.460E-2;-3.166E-2;1.101
11.497;2.419E-2;8.012E-3;1.175
11.530;2.514E-2;4.702E-2;1.032
11.563;2.733E-2;7.752E-2;0.745
11.597;3.031E-2;9.643E-2;0.361
11.630;3.376E-2;0.102;-6.359E-2
11.663;3.711E-2;9.203E-2;-0.466
11.697;3.989E-2;7.058E-2;-0.788
11.730;4.182E-2;3.972E-2;-0.968
11.763;4.254E-2;5.045E-3;-1.043
11.797;4.215E-2;-2.936E-2;-0.993
11.830;4.058E-2;-6.184E-2;-0.869
11.863;3.803E-2;-8.732E-2;-0.568
11.897;3.476E-2;-0.100;-0.165
11.930;3.134E-2;-9.804E-2;0.244
11.963;2.822E-2;-8.392E-2;0.603
11.997;2.574E-2;-5.813E-2;0.940
12.030;2.435E-2;-2.096E-2;1.164
12.063;2.435E-2;2.020E-2;1.169
12.097;2.570E-2;5.731E-2;0.946
12.130;2.817E-2;8.377E-2;0.611
12.163;3.128E-2;9.776E-2;0.246
12.197;3.468E-2;0.100;-0.159
12.230;3.797E-2;8.759E-2;-0.557
12.263;4.052E-2;6.239E-2;-0.866
12.297;4.213E-2;2.994E-2;-1.008
12.330;4.252E-2;-5.489E-3;-1.048
12.363;4.176E-2;-3.981E-2;-0.962
12.396;3.986E-2;-7.011E-2;-0.761
12.430;3.709E-2;-9.081E-2;-0.469
12.463;3.381E-2;-0.101;-6.905E-2
12.496;3.034E-2;-9.628E-2;0.353
12.530;2.739E-2;-7.671E-2;0.739
12.563;2.523E-2;-4.732E-2;1.009
12.596;2.424E-2;-8.997E-3;1.175
12.630;2.463E-2;3.154E-2;1.109
12.663;2.634E-2;6.566E-2;0.864
12.696;2.900E-2;8.905E-2;0.509
12.730;3.228E-2;9.997E-2;0.140
12.763;3.567E-2;9.805E-2;-0.301
12.796;3.881E-2;8.061E-2;-0.654
12.830;4.104E-2;5.303E-2;-0.924
12.863;4.235E-2;1.983E-2;-1.014
12.896;4.236E-2;-1.580E-2;-1.034
12.930;4.129E-2;-4.860E-2;-0.916
12.963;3.912E-2;-7.755E-2;-0.697
12.996;3.612E-2;-9.542E-2;-0.352
13.030;3.276E-2;-0.101;7.992E-2
13.063;2.940E-2;-9.072E-2;0.469
13.096;2.671E-2;-6.846E-2;0.827
13.130;2.484E-2;-3.636E-2;1.059
13.163;2.429E-2;3.230E-3;1.171
13.196;2.506E-2;4.175E-2;1.035
13.230;2.707E-2;7.303E-2;0.775
13.263;2.992E-2;9.316E-2;0.408
13.296;3.328E-2;0.101;1.747E-2
13.330;3.663E-2;9.409E-2;-0.409
13.363;3.955E-2;7.360E-2;-0.751
13.396;4.154E-2;4.325E-2;-0.960
13.430;4.244E-2;9.517E-3;-1.025
13.463;4.217E-2;-2.530E-2;-1.002
13.496;4.075E-2;-5.756E-2;-0.879
13.529;3.834E-2;-8.403E-2;-0.591
13.563;3.515E-2;-9.781E-2;-0.230
13.596;3.182E-2;-9.856E-2;0.197
13.629;2.858E-2;-8.558E-2;0.564
13.663;2.611E-2;-5.994E-2;0.903
13.696;2.459E-2;-2.582E-2;1.102
13.729;2.439E-2;1.432E-2;1.159
13.763;2.554E-2;5.187E-2;0.973
13.796;2.785E-2;7.972E-2;0.676
13.829;3.086E-2;9.655E-2;0.292
13.863;3.428E-2;9.988E-2;-0.115
13.896;3.751E-2;8.834E-2;-0.523
13.929;4.017E-2;6.510E-2;-0.819
13.963;4.185E-2;3.324E-2;-0.988
13.996;4.239E-2;-1.106E-3;-1.010
14.029;4.178E-2;-3.425E-2;-0.975
14.063;4.010E-2;-6.594E-2;-0.815
14.096;3.738E-2;-8.963E-2;-0.489
14.129;3.413E-2;-9.844E-2;-9.718E-2
14.163;3.082E-2;-9.571E-2;0.292
14.196;2.775E-2;-7.961E-2;0.677
14.229;2.551E-2;-4.997E-2;0.983
14.263;2.442E-2;-1.371E-2;1.136
14.296;2.460E-2;2.582E-2;1.114
14.329;2.614E-2;6.148E-2;0.894
14.363;2.870E-2;8.557E-2;0.555
14.396;3.185E-2;9.828E-2;0.175
14.429;3.525E-2;9.772E-2;-0.238
14.463;3.836E-2;8.219E-2;-0.613
14.496;4.073E-2;5.644E-2;-0.870
14.529;4.212E-2;2.411E-2;-1.009
14.563;4.233E-2;-1.126E-2;-1.047
14.596;4.137E-2;-4.578E-2;-0.928
14.629;3.928E-2;-7.378E-2;-0.698
14.662;3.645E-2;-9.205E-2;-0.363
14.696;3.315E-2;-9.851E-2;-8.662E-3
14.729;2.989E-2;-9.223E-2;0.407
14.762;2.700E-2;-7.197E-2;0.776
14.796;2.509E-2;-3.963E-2;1.052
14.829;2.436E-2;-1.786E-3;1.138
14.862;2.497E-2;3.679E-2;1.053
14.896;2.681E-2;6.883E-2;0.823
14.929;2.956E-2;9.160E-2;0.447
14.962;3.292E-2;9.946E-2;5.046E-2
14.996;3.619E-2;9.390E-2;-0.373
15.029;3.918E-2;7.557E-2;-0.689
15.062;4.122E-2;4.665E-2;-0.930
15.096;4.228E-2;1.388E-2;-1.009
15.129;4.215E-2;-2.113E-2;-0.999
15.162;4.088E-2;-5.296E-2;-0.889
15.196;3.862E-2;-8.037E-2;-0.627
15.229;3.552E-2;-9.589E-2;-0.270
15.262;3.223E-2;-9.756E-2;0.145
15.296;2.902E-2;-8.686E-2;0.516
15.329;2.644E-2;-6.271E-2;0.862
15.362;2.484E-2;-2.925E-2;1.080
15.396;2.449E-2;9.708E-3;1.140
15.429;2.548E-2;4.731E-2;0.978
15.462;2.764E-2;7.552E-2;0.704
15.496;3.052E-2;9.370E-2;0.324
15.529;3.389E-2;9.818E-2;-6.782E-2
15.562;3.706E-2;8.824E-2;-0.453
15.596;3.977E-2;6.831E-2;-0.746
15.629;4.161E-2;3.823E-2;-0.965
15.662;4.232E-2;3.493E-3;-1.044
15.696;4.185E-2;-3.150E-2;-0.977
15.729;4.022E-2;-6.213E-2;-0.804
15.762;3.771E-2;-8.505E-2;-0.534
15.796;3.455E-2;-9.810E-2;-0.176
15.829;3.117E-2;-9.703E-2;0.268
15.862;2.808E-2;-8.025E-2;0.657
15.895;2.582E-2;-5.255E-2;0.936
15.929;2.458E-2;-1.796E-2;1.102
15.962;2.462E-2;2.134E-2;1.101
15.995;2.600E-2;5.634E-2;0.914
16.029;2.838E-2;8.211E-2;0.585
16.062;3.148E-2;9.591E-2;0.241
16.095;3.477E-2;9.763E-2;-0.181
16.129;3.798E-2;8.474E-2;-0.557
16.162;4.042E-2;5.931E-2;-0.860
16.195;4.194E-2;2.772E-2;-0.984
16.229;4.227E-2;-6.982E-3;-1.028
16.262;4.147E-2;-4.066E-2;-0.935
16.295;3.956E-2;-6.995E-2;-0.728
16.329;3.681E-2;-8.936E-2;-0.416
16.362;3.360E-2;-9.766E-2;-4.010E-2
16.395;3.030E-2;-9.238E-2;0.355
16.429;2.744E-2;-7.363E-2;0.724
16.462;2.539E-2;-4.411E-2;1.003
16.495;2.450E-2;-6.408E-3;1.144
16.529;2.496E-2;3.279E-2;1.055
16.562;2.669E-2;6.459E-2;0.819
16.595;2.927E-2;8.703E-2;0.484
16.629;3.249E-2;9.761E-2;0.115
16.662;3.577E-2;9.424E-2;-0.312
16.695;3.877E-2;7.718E-2;-0.650
16.729;4.092E-2;4.998E-2;-0.893
16.762;4.210E-2;1.785E-2;-0.992
16.795;4.211E-2;-1.667E-2;-1.008
16.829;4.099E-2;-4.939E-2;-0.908
16.862;3.882E-2;-7.750E-2;-0.657
16.895;3.582E-2;-9.384E-2;-0.294
16.929;3.256E-2;-9.671E-2;0.102
16.962;2.938E-2;-8.732E-2;0.465
16.995;2.674E-2;-6.543E-2;0.814
17.028;2.502E-2;-3.298E-2;1.051
17.062;2.454E-2;5.277E-3;1.131
17.095;2.537E-2;4.270E-2;0.990
17.128;2.739E-2;7.199E-2;0.731
17.162;3.017E-2;9.100E-2;0.373
17.195;3.345E-2;9.762E-2;3.038E-4
17.228;3.667E-2;9.049E-2;-0.411
17.262;3.949E-2;7.058E-2;-0.735
17.295;4.138E-2;4.074E-2;-0.956
17.328;4.220E-2;6.827E-3;-1.015
17.362;4.183E-2;-2.741E-2;-0.974
17.395;4.037E-2;-5.814E-2;-0.819
17.428;3.796E-2;-8.235E-2;-0.571
17.462;3.489E-2;-9.631E-2;-0.203
17.495;3.154E-2;-9.626E-2;0.208
17.528;2.847E-2;-8.207E-2;0.599
17.562;2.607E-2;-5.632E-2;0.903
17.595;2.472E-2;-2.151E-2;1.084
17.628;2.463E-2;1.643E-2;1.092
17.662;2.581E-2;5.165E-2;0.929
17.695;2.808E-2;7.873E-2;0.633
17.728;3.106E-2;9.397E-2;0.276
17.762;3.434E-2;9.709E-2;-0.133
17.795;3.753E-2;8.556E-2;-0.505
17.828;4.004E-2;6.252E-2;-0.816
17.862;4.170E-2;3.157E-2;-0.973
17.895;4.215E-2;-3.289E-3;-1.020
17.928;4.148E-2;-3.630E-2;-0.947
17.962;3.973E-2;-6.665E-2;-0.753
17.995;3.704E-2;-8.724E-2;-0.446
18.028;3.391E-2;-9.595E-2;-8.325E-2
18.062;3.064E-2;-9.317E-2;0.300
18.095;2.770E-2;-7.598E-2;0.688
18.128;2.558E-2;-4.691E-2;0.974
18.162;2.457E-2;-1.077E-2;1.106
18.195;2.486E-2;2.729E-2;1.072
18.228;2.639E-2;6.112E-2;0.853
18.261;2.893E-2;8.461E-2;0.515
18.295;3.203E-2;9.536E-2;0.151
18.328;3.529E-2;9.460E-2;-0.242
18.361;3.834E-2;7.970E-2;-0.608
18.395;4.060E-2;5.324E-2;-0.868
18.428;4.189E-2;2.176E-2;-0.988
18.461;4.205E-2;-1.279E-2;-1.005
18.495;4.103E-2;-4.571E-2;-0.912
18.528;3.900E-2;-7.356E-2;-0.675
18.561;3.613E-2;-9.140E-2;-0.353
18.595;3.291E-2;-9.672E-2;5.669E-2
18.628;2.968E-2;-8.817E-2;0.438
18.661;2.704E-2;-6.685E-2;0.773
18.695;2.523E-2;-3.681E-2;1.002
18.728;2.458E-2;2.959E-4;1.100
18.761;2.525E-2;3.717E-2;1.010
18.795;2.706E-2;6.779E-2;0.780
18.828;2.977E-2;8.937E-2;0.427
18.861;3.302E-2;9.678E-2;3.434E-2
18.895;3.622E-2;9.099E-2;-0.370
18.928;3.908E-2;7.267E-2;-0.681
18.961;4.106E-2;4.463E-2;-0.920
18.995;4.206E-2;1.162E-2;-1.005
19.028;4.184E-2;-2.307E-2;-0.991
19.061;4.052E-2;-5.440E-2;-0.848
19.095;3.821E-2;-7.998E-2;-0.588
19.128;3.519E-2;-9.405E-2;-0.236
19.161;3.194E-2;-9.543E-2;0.170
19.195;2.883E-2;-8.315E-2;0.546
19.228;2.640E-2;-5.843E-2;0.857
19.261;2.493E-2;-2.598E-2;1.044
19.295;2.467E-2;1.151E-2;1.096
19.328;2.570E-2;4.765E-2;0.945
19.361;2.784E-2;7.499E-2;0.675
19.394;3.070E-2;9.229E-2;0.303
19.428;3.400E-2;9.601E-2;-7.851E-2
19.461;3.710E-2;8.623E-2;-0.479
19.494;3.974E-2;6.467E-2;-0.757
19.528;4.141E-2;3.472E-2;-0.945
19.561;4.206E-2;1.979E-3;-0.997
19.594;4.154E-2;-3.219E-2;-0.966
19.628;3.991E-2;-6.269E-2;-0.778
19.661;3.736E-2;-8.449E-2;-0.494
19.694;3.428E-2;-9.544E-2;-0.135
19.728;3.100E-2;-9.388E-2;0.283
19.761;2.802E-2;-7.667E-2;0.663
19.794;2.589E-2;-4.890E-2;0.925
19.828;2.476E-2;-1.513E-2;1.061
19.861;2.488E-2;2.231E-2;1.055
19.894;2.625E-2;5.578E-2;0.880
19.928;2.860E-2;8.096E-2;0.568
19.961;3.165E-2;9.420E-2;0.208
19.994;3.488E-2;9.445E-2;-0.207
20.028;3.794E-2;8.090E-2;-0.562
20.061;4.027E-2;5.614E-2;-0.838
20.094;4.168E-2;2.521E-2;-0.966
20.128;4.195E-2;-8.824E-3;-1.009
20.161;4.110E-2;-4.204E-2;-0.908
20.194;3.915E-2;-7.004E-2;-0.715
20.228;3.643E-2;-8.955E-2;-0.371
20.261;3.318E-2;-9.569E-2;8.101E-3
20.294;3.005E-2;-8.815E-2;0.399
20.328;2.730E-2;-6.958E-2;0.716
20.361;2.541E-2;-3.994E-2;0.981
